	group	names	scores	logfoldchanges	pvals	pvals_adj
9978	Stele	AT3G52920	21.043978	2.515657	2.5965235740549155e-98	5.741284554174569e-96
9979	Stele	AT2G44160	20.77935	1.9970905	6.655267305879829e-96	1.4440686078561867e-93
9980	Stele	AT4G09030	20.615992	1.7657664	1.9723763180784214e-94	4.201161557507038e-92
9981	Stele	AT3G13520	19.828272	0.8943612	1.697732996885398e-87	3.340361609210871e-85
9982	Stele	AT3G16640	19.333622	1.1760938	2.800505826544727e-83	5.160265378959439e-81
9983	Stele	AT3G52590	19.18004	1.7767837	5.433810000270202e-82	9.933603683171124e-80
9984	Stele	AT1G11580	19.089579	2.8928912	3.082426806106972e-81	5.54765140754927e-79
9985	Stele	AT3G12110	18.753912	2.6981626	1.7985876655691703e-78	3.0704271934940754e-76
9986	Stele	AT1G31812	18.750666	1.337071	1.9118272470736968e-78	3.2399192113364973e-76
9987	Stele	AT5G59880	18.295351	1.4027327	9.01176030289208e-75	1.442938199670658e-72
9988	Stele	AT2G32720	17.982237	2.1617236	2.6844385217892327e-72	4.127457560290107e-70
9989	Stele	AT3G57010	17.981268	2.1830344	2.731723282871753e-72	4.1725275959495716e-70
9990	Stele	AT3G11930	17.969038	4.6134853	3.40568199323041e-72	5.1679554795314006e-70
9991	Stele	AT1G15950	17.944822	2.4343607	5.267825761226582e-72	7.890523270864357e-70
9992	Stele	AT3G45700	17.70148	4.7003536	4.084288235942052e-70	5.8897465822277404e-68
9993	Stele	AT4G25810	17.516747	1.8476937	1.0675836406110083e-68	1.5113469136625474e-66
9994	Stele	AT1G65930	17.365946	1.0265616	1.494176899528171e-67	2.0772637770266796e-65
9995	Stele	AT3G05900	17.267727	1.1392646	8.232061012463102e-67	1.137641431704499e-64
9996	Stele	AT2G45290	17.266373	2.6595013	8.42747733780629e-67	1.15775586598727e-64
9997	Stele	AT5G16570	17.189247	4.833105	3.196542552861024e-66	4.365536967633788e-64
9998	Stele	AT5G25890	17.125292	1.3806943	9.61251343494618e-66	1.3051094995271666e-63
9999	Stele	AT1G71880	16.90513	3.6372395	4.124105827729946e-64	5.440304829682168e-62
10000	Stele	AT4G34870	16.760815	1.6857518	4.7210765074421073e-63	6.089401848515745e-61
10001	Stele	AT5G46730	16.3835	5.5496435	2.508826022377722e-60	3.1148349605103512e-58
10002	Stele	AT2G44300	16.322908	5.6783266	6.782554725862181e-60	8.376094312252247e-58
10003	Stele	AT5G20290	16.169395	1.693503	8.290839921941813e-59	9.871201562447336e-57
10004	Stele	AT2G31900	16.147697	4.459636	1.178797026019373e-58	1.3963331914842745e-56
